hour,n_hour_ids,LQ_est,med_est,UQ_est,LQ_est_char,med_est_char,UQ_est_char,n_obvs,all,bd,bd_label,route_name,year,city,short_name
0,61,1951.8629323543807,1570.6642682561646,1466.6800814183196,33m 31s,26m 10s,24m 26s,82787,FALSE,0,00:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
1,61,2116.515083014812,1630.4427469661616,1469.5510219550729,35m 16s,27m 10s,24m 29s,79518,FALSE,1,01:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
2,61,1971.472133950515,1558.2913919552873,1452.0368173817917,33m 51s,26m 58s,24m 12s,83024,FALSE,2,02:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
3,61,1985.8552391022015,1558.9258252773611,1457.450363743193,33m 5s,26m 58s,24m 17s,136019,FALSE,3,03:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
4,61,1868.5854607213248,1539.7801704031976,1447.0672910889043,31m 8s,26m 39s,24m 7s,134479,FALSE,4,04:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
5,61,1830.11709468858,1537.7168777522234,1454.399486871654,31m 30s,26m 37s,24m 14s,245084,FALSE,5,05:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
6,61,1867.3766162179272,1572.0541016671375,1463.6136898299026,31m 7s,26m 12s,24m 23s,397409,FALSE,6,06:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
7,61,2133.8816064540997,1665.0653214776685,1500.6931632605165,36m 33s,28m 45s,25m 0s,480633,FALSE,7,07:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
8,61,2800.0873221564207,1896.924737233592,1564.0499729820351,47m 40s,32m 36s,26m 4s,480401,FALSE,8,08:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
9,61,2829.493032144061,1905.3417454634184,1551.3615952629216,47m 9s,32m 45s,26m 51s,583048,FALSE,9,09:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
10,61,2994.408002331257,1933.9659937788765,1522.134295525398,50m 54s,32m 13s,25m 22s,523750,FALSE,10,10:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
11,61,2590.458693844685,1727.499415694974,1492.090913871045,43m 10s,29m 47s,25m 52s,390984,FALSE,11,11:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
12,61,2646.652663777062,1729.0820471550576,1495.0527145620256,44m 6s,29m 49s,25m 55s,301183,FALSE,12,12:00:00,M1 (East) - City to M420,2019,Melbourne,M1 (East)_Melbourne
